,country_destination_encoded,country_destination
0,7,NDF
1,7,NDF
2,10,US
3,11,other
4,10,US
5,10,US
6,10,US
7,10,US
8,10,US
9,10,US
10,10,US
11,7,NDF
12,4,FR
13,7,NDF
14,7,NDF
15,1,CA
16,7,NDF
17,10,US
18,7,NDF
19,4,FR
20,10,US
21,10,US
22,10,US
23,7,NDF
24,7,NDF
25,4,FR
26,7,NDF
27,10,US
28,4,FR
29,10,US
30,4,FR
31,7,NDF
32,7,NDF
33,7,NDF
34,7,NDF
35,7,NDF
36,10,US
37,7,NDF
38,7,NDF
39,7,NDF
40,7,NDF
41,10,US
42,7,NDF
43,7,NDF
44,5,GB
45,10,US
46,3,ES
47,10,US
48,7,NDF
49,10,US
50,7,NDF
51,10,US
52,10,US
53,7,NDF
54,10,US
55,10,US
56,7,NDF
57,1,CA
58,10,US
59,7,NDF
60,7,NDF
61,7,NDF
62,7,NDF
63,1,CA
64,1,CA
65,7,NDF
66,7,NDF
67,10,US
68,7,NDF
69,7,NDF
70,10,US
71,7,NDF
72,7,NDF
73,7,NDF
74,4,FR
75,10,US
76,10,US
77,7,NDF
78,5,GB
79,7,NDF
80,11,other
81,10,US
82,7,NDF
83,7,NDF
84,10,US
85,10,US
86,10,US
87,6,IT
88,7,NDF
89,7,NDF
90,4,FR
91,10,US
92,4,FR
93,10,US
94,10,US
95,10,US
96,10,US
97,10,US
98,7,NDF
99,7,NDF
100,7,NDF
101,7,NDF
102,3,ES
103,7,NDF
104,10,US
105,10,US
106,7,NDF
107,4,FR
108,7,NDF
109,7,NDF
110,1,CA
111,10,US
112,10,US
113,10,US
114,7,NDF
115,7,NDF
116,7,NDF
117,4,FR
118,10,US
119,7,NDF
120,10,US
121,10,US
122,7,NDF
123,7,NDF
124,10,US
125,7,NDF
126,7,NDF
127,7,NDF
128,10,US
129,11,other
130,10,US
131,6,IT
132,7,NDF
133,7,NDF
134,10,US
135,10,US
136,7,NDF
137,10,US
138,7,NDF
139,7,NDF
140,7,NDF
141,1,CA
142,5,GB
143,7,NDF
144,10,US
145,10,US
146,5,GB
147,10,US
148,10,US
149,4,FR
150,7,NDF
151,10,US
152,10,US
153,7,NDF
154,10,US
155,10,US
156,7,NDF
157,7,NDF
158,7,NDF
159,10,US
160,7,NDF
161,4,FR
162,10,US
163,7,NDF
164,7,NDF
165,10,US
166,7,NDF
167,7,NDF
168,7,NDF
169,7,NDF
170,7,NDF
171,10,US
172,10,US
173,6,IT
174,7,NDF
175,10,US
176,7,NDF
177,7,NDF
178,10,US
179,10,US
180,7,NDF
181,10,US
182,10,US
183,7,NDF
184,10,US
185,7,NDF
186,7,NDF
187,10,US
188,3,ES
189,10,US
190,7,NDF
191,10,US
192,10,US
193,4,FR
194,11,other
195,10,US
196,10,US
197,4,FR
198,7,NDF
199,10,US
200,7,NDF
201,10,US
202,7,NDF
203,10,US
204,7,NDF
205,7,NDF
206,10,US
207,7,NDF
208,10,US
209,10,US
210,11,other
211,7,NDF
212,10,US
213,10,US
214,7,NDF
215,4,FR
216,7,NDF
217,7,NDF
218,10,US
219,7,NDF
220,10,US
221,7,NDF
222,10,US
223,7,NDF
224,10,US
225,10,US
226,7,NDF
227,10,US
228,10,US
229,10,US
230,10,US
231,10,US
232,4,FR
233,10,US
234,10,US
235,10,US
236,7,NDF
237,10,US
238,10,US
239,7,NDF
240,10,US
241,10,US
242,10,US
243,10,US
244,7,NDF
245,7,NDF
246,10,US
247,10,US
248,10,US
249,7,NDF
250,7,NDF
251,4,FR
252,10,US
253,10,US
254,7,NDF
255,10,US
256,7,NDF
257,7,NDF
258,7,NDF
259,10,US
260,7,NDF
261,10,US
262,7,NDF
263,10,US
264,10,US
265,7,NDF
266,10,US
267,7,NDF
268,10,US
269,10,US
270,10,US
271,10,US
272,10,US
273,4,FR
274,7,NDF
275,10,US
276,7,NDF
277,1,CA
278,7,NDF
279,7,NDF
280,10,US
281,7,NDF
282,7,NDF
283,10,US
284,10,US
285,7,NDF
286,10,US
287,7,NDF
288,9,PT
289,11,other
290,10,US
291,10,US
292,10,US
293,10,US
294,10,US
295,10,US
296,10,US
297,10,US
298,10,US
299,10,US
300,7,NDF
301,10,US
302,10,US
303,10,US
304,7,NDF
305,10,US
306,7,NDF
307,10,US
308,4,FR
309,10,US
310,10,US
311,7,NDF
312,10,US
313,10,US
314,10,US
315,7,NDF
316,10,US
317,10,US
318,4,FR
319,7,NDF
320,10,US
321,7,NDF
322,7,NDF
323,10,US
324,10,US
325,10,US
326,7,NDF
327,10,US
328,10,US
329,10,US
330,7,NDF
331,7,NDF
332,7,NDF
333,10,US
334,7,NDF
335,7,NDF
336,3,ES
337,7,NDF
338,10,US
339,7,NDF
340,7,NDF
341,10,US
342,10,US
343,10,US
344,10,US
345,10,US
346,10,US
347,10,US
348,10,US
349,10,US
350,10,US
351,7,NDF
352,7,NDF
353,7,NDF
354,10,US
355,3,ES
356,7,NDF
357,10,US
358,10,US
359,10,US
360,10,US
361,10,US
362,10,US
363,7,NDF
364,7,NDF
365,10,US
366,7,NDF
367,10,US
368,10,US
369,10,US
370,7,NDF
371,10,US
372,7,NDF
373,7,NDF
374,7,NDF
375,7,NDF
376,7,NDF
377,7,NDF
378,7,NDF
379,7,NDF
380,10,US
381,7,NDF
382,10,US
383,10,US
384,10,US
385,10,US
386,10,US
387,10,US
388,4,FR
389,7,NDF
390,4,FR
391,7,NDF
392,10,US
393,10,US
394,10,US
395,10,US
396,7,NDF
397,7,NDF
398,4,FR
399,10,US
400,7,NDF
401,1,CA
402,7,NDF
403,10,US
404,7,NDF
405,10,US
406,7,NDF
407,10,US
408,7,NDF
409,7,NDF
410,10,US
411,7,NDF
412,10,US
413,10,US
414,7,NDF
415,10,US
416,7,NDF
417,7,NDF
418,7,NDF
419,7,NDF
420,10,US
421,10,US
422,10,US
423,10,US
424,7,NDF
425,7,NDF
426,7,NDF
427,10,US
428,1,CA
429,7,NDF
430,10,US
431,7,NDF
432,3,ES
433,3,ES
434,10,US
435,10,US
436,7,NDF
437,10,US
438,5,GB
439,10,US
440,10,US
441,7,NDF
442,10,US
443,7,NDF
444,7,NDF
445,7,NDF
446,7,NDF
447,10,US
448,7,NDF
449,7,NDF
450,10,US
451,10,US
452,10,US
453,10,US
454,7,NDF
455,7,NDF
456,10,US
457,10,US
458,7,NDF
459,10,US
460,7,NDF
461,10,US
462,10,US
463,6,IT
464,7,NDF
465,10,US
466,7,NDF
467,7,NDF
468,8,NL
469,7,NDF
470,7,NDF
471,4,FR
472,7,NDF
473,7,NDF
474,1,CA
475,7,NDF
476,10,US
477,10,US
478,10,US
479,10,US
480,4,FR
481,7,NDF
482,6,IT
483,10,US
484,3,ES
485,10,US
486,10,US
487,10,US
488,10,US
489,10,US
490,4,FR
491,7,NDF
492,4,FR
493,7,NDF
494,7,NDF
495,7,NDF
496,4,FR
497,10,US
498,7,NDF
499,6,IT
500,7,NDF
501,10,US
502,10,US
503,10,US
504,10,US
505,10,US
506,10,US
507,10,US
508,4,FR
509,10,US
510,10,US
511,7,NDF
512,7,NDF
513,10,US
514,7,NDF
515,7,NDF
516,4,FR
517,10,US
518,7,NDF
519,10,US
520,7,NDF
521,10,US
522,10,US
523,10,US
524,10,US
525,7,NDF
526,10,US
527,7,NDF
528,7,NDF
529,6,IT
530,10,US
531,10,US
532,10,US
533,10,US
534,11,other
535,10,US
536,7,NDF
537,10,US
538,7,NDF
539,7,NDF
540,7,NDF
541,7,NDF
542,10,US
543,10,US
544,10,US
545,10,US
546,10,US
547,10,US
548,7,NDF
549,3,ES
550,1,CA
551,7,NDF
552,7,NDF
553,4,FR
554,7,NDF
555,7,NDF
556,10,US
557,7,NDF
558,10,US
559,3,ES
560,1,CA
561,10,US
562,10,US
563,7,NDF
564,7,NDF
565,7,NDF
566,7,NDF
567,10,US
568,10,US
569,10,US
570,7,NDF
571,10,US
572,7,NDF
573,7,NDF
574,7,NDF
575,7,NDF
576,10,US
577,7,NDF
578,10,US
579,10,US
580,10,US
581,3,ES
582,7,NDF
583,7,NDF
584,7,NDF
585,4,FR
586,4,FR
587,10,US
588,10,US
589,10,US
590,7,NDF
591,7,NDF
592,7,NDF
593,7,NDF
594,7,NDF
595,7,NDF
596,7,NDF
597,10,US
598,7,NDF
599,10,US
600,10,US
601,4,FR
602,10,US
603,7,NDF
604,10,US
605,10,US
606,7,NDF
607,10,US
608,7,NDF
609,11,other
610,7,NDF
611,11,other
612,10,US
613,7,NDF
614,10,US
615,7,NDF
616,7,NDF
617,7,NDF
618,7,NDF
619,3,ES
620,7,NDF
621,10,US
622,10,US
623,10,US
624,10,US
