# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication_status,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
 OGLE-2016-BLG-1469L b,Confirmed,13.60,3,3,,,,,,,,,,0.33,0.04,0.04,,,,,,,,2017,8/19/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,OGLE-2016-BLG-1469L,271.94575,-26.2898889,,,,,,4500.00,,,,,,0.05,0.007,0.007,,,,,,,,,,,,,
11 Com b,Confirmed,19.40,1.5,1.5,19.4,1.5,1.5,,,,326.03,0.32,0.32,1.29,0.05,0.05,0.231,0.005,0.005,,,,0.011664,2008,8/21/2015,94.8,1.5,1.5,2452899.6,1.6,1.6,,,,,,,,,,,,,,,,,,,296.7,5.6,5.6,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,11 Com,185.1791667,17.7927778,4.74,,,,,110.60,10.5,10.5,-0.35,0.09,0.09,2.70,0.3,0.3,19.00,2,2,G8 III,,,,4742,100,100,,,
11 Oph b,Confirmed,21.00,3,3,,,,,,,730000.00,365000,365000,243,55,55,,,,,,,1.675862,2007,2/26/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,11 Oph,245.6041667,-24.0872222,,,,,14.03,145.00,20,20,,,,0.02,0.005,0.005,,,,M9,0.01,0.002,0.002,2375,175,175,,,
11 UMi b,Confirmed,10.50,2.47,2.47,10.5,2.47,2.47,,,,516.22,3.25,3.25,1.54,0.07,0.07,0.08,0.03,0.03,,,,0.012887,2009,8/13/2009,117.63,21.06,21.06,2452861.05,2.06,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,11 UMi,229.275,71.8238889,5.02,,,,,119.50,6.9,6.9,0.04,0.04,0.04,1.80,0.25,0.25,24.08,1.84,1.84,K4III,1.56,0.54,0.54,4340,70,70,,,
14 And b,Confirmed,5.33,0.57,0.57,5.33,0.57,0.57,,,,185.84,0.23,0.23,0.83,,,0,,,,,,0.010864,2008,8/27/2014,,,,2452861.4,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,14 And,352.8208333,39.2361111,5.22,4.1,3.02,2.61,2.33,76.40,4.1,4.1,-0.24,,,2.20,0.2,0.2,11.00,1,1,K0III,,,,4813,20,20,,,
14 Her b,Confirmed,4.64,0.19,0.19,4.64,0.19,0.19,,,,1773.40,2.5,2.5,2.77,0.05,0.05,0.369,0.005,0.005,,,,0.153039,2002,8/27/2014,22.6,0.9,0.9,2451372.7,3.6,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,14 Her,242.5958333,43.8216667,6.67,,,,,18.10,,,0.43,0.08,0.08,0.90,,,0.71,0.085,0.085,K0 V,5.10,,,5311,87,87,,,
16 Cyg B b,Confirmed,1.68,0.07,0.07,1.68,0.07,0.07,,,,799.50,0.6,0.6,1.68,0.03,0.03,0.689,0.011,0.011,,,,0.078468,1996,8/27/2014,83.4,2.1,2.1,2450539.3,1.6,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,16 Cyg B,295.4625,50.5175,6.2,,,,,21.41,0.24,0.24,0.08,0.04,0.04,1.01,0.04,0.04,0.98,0.13,0.13,G2.5 V,8.00,1.8,1.8,5766,60,60,,,
18 Del b,Confirmed,10.30,,,10.3,,,,,,993.30,3.2,3.2,2.6,,,0.08,0.01,0.01,,,,0.035568,2008,8/27/2014,166.1,6.5,6.5,2451672,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,18 Del,314.6083333,10.8391667,5.52,,4.03,3.44,3.67,73.10,3.5,3.5,-0.052,0.023,0.023,2.30,,,8.50,,,G6III,,,,4979,18,18,,,
1I/2017 U1,Confirmed,,,,,,,0.00,,,,,,,,,1.196,0.004,0.004,,,,,2017,11/29/2017,241.5,0.3,0.3,2458055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,Theoretical,1I/'Oumuamua,,Sun,0,0,,,,,,,,,,,,1.00,,,1.00,,,,,,,,,,,,
1RXS 1609 b,Confirmed,14.00,3,2,,,,1.70,,,,,,330,0,0,,,,,,,2.275862,2008,3/5/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,,,,,4,Published in a refereed paper,Imaging,,,"RXJ 1609, 1RXS J1609-2105b, 1RXS J1609b, 1RXS J160929.1-210524 b","H2O, CO, K",1RXS1609,242.375,-21.0827778,,10.99,9.82,9.12,8.92,145.00,20,20,,,,0.73,0.05,0.05,1.35,,,K7V,0.01,0.002,0.002,4060,200,200,,,
1SWASP J1407 b,Confirmed,20.00,6,6,20,6,6,,,,3725.00,900,900,3.9,1.7,1.7,,,,,,,,2012,10/29/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,,,,1SWASP J1407,211.95,-39.76194447,12.4,,,,,133.00,12,12,,,,0.90,,,0.99,0.11,0.11,,0.02,,,4400,100,100,,,
